grid_id,Acraea andromacha,Acraea terpsicore,Afrohybanthus enneaspermus,Adenia heterophylla,n_species
12719,3,12,0,0,4
12720,0,12,0,0,4
12768,0,4,0,0,4
12769,1,5,0,0,4
12772,0,0,2,0,4
12778,1,2,0,0,4
12787,0,3,0,0,4
12788,0,0,1,0,4
12836,1,1,3,1,4
12837,0,1,3,0,4
12846,0,2,0,0,4
12859,0,1,0,0,4
12870,0,1,0,0,4
12879,0,3,0,0,4
12880,0,0,6,0,4
12896,0,1,0,0,4
12897,0,2,0,0,4
12898,0,2,0,0,4
12912,0,0,1,0,4
12922,0,1,0,0,4
12936,0,3,0,0,4
12941,0,3,0,0,4
12973,0,1,0,0,4
12974,1,0,0,0,4
13010,0,1,0,0,4
13011,0,1,0,0,4
13013,0,4,0,1,4
13014,0,2,1,0,4
13016,0,3,1,1,4
13018,0,1,1,0,4
13021,0,1,1,3,4
13040,1,3,0,0,4
13046,0,2,0,2,4
13050,0,0,2,0,4
13051,0,2,0,0,4
13052,0,1,0,0,4
13054,0,1,2,0,4
13057,0,1,0,1,4
13071,0,0,1,0,4
13079,0,1,0,0,4
13087,1,4,0,0,4
13088,6,44,22,0,4
13097,0,3,0,0,4
13109,0,0,1,0,4
13115,0,2,0,0,4
13119,0,1,0,0,4
13132,0,1,0,0,4
13137,0,1,0,0,4
13147,0,0,4,0,4
13148,0,0,2,0,4
13159,0,0,0,1,4
13175,0,1,0,0,4
13200,0,0,0,1,4
13214,0,1,0,0,4
13260,0,0,0,1,4
13262,0,2,0,0,4
13263,0,2,0,0,4
13265,0,0,0,1,4
