grid_id,source,n_species,n_records
15256,NA,1,1
15621,NA,1,1
15995,NA,1,3
15996,NA,1,3
16369,NA,1,1
18240,NA,1,1
19354,NA,1,1
19369,NA,1,1
22820,NA,1,1
23622,NA,1,3
24802,NA,1,1
25190,NA,1,1
25191,NA,1,2
25973,NA,1,1
25980,NA,1,1
26373,NA,1,4
27555,NA,1,1
27557,NA,1,1
27952,NA,1,1
27953,NA,1,1
27954,NA,1,4
28340,NA,1,1
28344,NA,1,1
28347,NA,1,2
28348,NA,1,1
28350,NA,1,2
28351,NA,1,31
28352,NA,1,1
28353,NA,1,5
28750,NA,1,1
28751,NA,1,4
29149,NA,1,7
29150,NA,1,3
29548,NA,1,1
29941,NA,1,1
29943,NA,1,1
30351,NA,1,3
30756,NA,1,1
31156,NA,1,1
31158,NA,1,1
31560,NA,1,2
32366,NA,1,8
32367,NA,1,3
32771,NA,1,3
33576,NA,1,1
33975,NA,1,1
34739,NA,1,2
35983,NA,1,1
35984,NA,1,1
36386,NA,1,3
36389,NA,1,1
36791,NA,1,1
37189,NA,1,1
37600,NA,1,3
38010,NA,1,3
38416,NA,1,1
39223,NA,1,1
39227,NA,1,1
39599,NA,1,1
40422,NA,1,1
40826,NA,1,1
40851,NA,1,1
41254,NA,1,1
41257,NA,1,1
42018,NA,1,1
42447,NA,1,1
42456,NA,1,1
44046,NA,1,1
44411,NA,1,1
46011,NA,1,2
47150,NA,1,1
47151,NA,1,2
48319,NA,1,2
48324,NA,1,1
48344,NA,1,2
49451,NA,1,1
49505,NA,1,1
49795,NA,1,1
49850,NA,1,4
50106,NA,1,1
50213,NA,1,1
50637,NA,1,2
51036,NA,1,1
51420,NA,1,1
53314,NA,1,1
53323,NA,1,4
53655,NA,1,1
54718,NA,1,4
55074,NA,1,1
55141,NA,1,1
55486,NA,1,2
55809,NA,1,2
55821,NA,1,1
55822,NA,1,1
55825,NA,1,1
55849,NA,1,1
56148,NA,1,1
56210,NA,1,2
56892,NA,1,1
56904,NA,1,1
56915,NA,1,1
57259,NA,1,1
57262,NA,1,2
57596,NA,1,3
57614,NA,1,3
57620,NA,1,3
57621,NA,1,7
57971,NA,1,1
58272,NA,1,2
58313,NA,1,4
58317,NA,1,1
58650,NA,1,1
58653,NA,1,3
58989,NA,1,1
59000,NA,1,1
59331,NA,1,1
60261,NA,1,1
60583,NA,1,1
60622,NA,1,1
60628,NA,1,1
60935,NA,1,1
60943,NA,1,1
61505,NA,1,1
61585,NA,1,1
61588,NA,1,2
61589,NA,1,6
61765,NA,1,1
61810,NA,1,3
61820,NA,1,3
61873,NA,1,1
62127,NA,1,3
62128,NA,1,2
62220,NA,1,1
62221,NA,1,1
62487,NA,1,10
62527,NA,1,1
62530,NA,1,3
62531,NA,1,1
62809,NA,1,1
62816,NA,1,1
62829,NA,1,1
62830,NA,1,2
62831,NA,1,14
63105,NA,1,4
63122,NA,1,1
63123,NA,1,1
63399,NA,1,1
63699,NA,1,1
63975,NA,1,1
63982,NA,1,1
64258,NA,1,1
64538,NA,1,5
64815,NA,1,1
64817,NA,1,1
65066,NA,1,1
65093,NA,1,6
65094,NA,1,1
65280,NA,1,1
65342,NA,1,1
65366,NA,1,1
65367,NA,1,2
65369,NA,1,31
65370,NA,1,33
65372,NA,1,2
65556,NA,1,1
65571,NA,1,1
65631,NA,1,1
65638,NA,1,3
65640,NA,1,52
65641,NA,1,8
65911,NA,1,1
66113,NA,1,1
66175,NA,1,1
66176,NA,1,2
66409,NA,1,1
66437,NA,1,2
66440,NA,1,1
66689,NA,1,1
